--------- beginning of /dev/log/system
07-14 13:32:49.627 I/WindowState(  374): WIN DEATH: Window{438d7e68 u0 com.android.packageinstaller/com.android.packageinstaller.UninstallerActivity}
07-14 13:32:51.307 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.pekall.emdm/.ui.SplashActivity} from pid 595
07-14 13:32:54.237 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.document.activity.DocMainActivity} from pid 3494
07-14 13:32:55.440 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.document.activity.CompanyDocActivity} from pid 3494
07-14 13:33:10.291 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 13:33:11.198 I/WindowManager(  374): Screenshot Window{42ccdca8 u0 com.pekall.emdm/com.pekall.emdm.document.activity.CompanyDocActivity} was all black! mSurfaceLayer=21020 minLayer=21000 maxLayer=21020
07-14 13:33:11.526 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 13:33:11.690 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 13:33:34.705 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 13:33:34.705 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 13:33:34.705 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 13:33:34.705 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 13:33:34.705 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 13:33:34.713 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
